A cake was cooked by the scientist .	* scientist ( x _ 6 ) ; cake ( x _ 1 ) AND cook . theme ( x _ 3 , x _ 1 ) AND cook . agent ( x _ 3 , x _ 6 )	in_distribution
A cake was eaten by a boy .	cake ( x _ 1 ) AND eat . theme ( x _ 3 , x _ 1 ) AND eat . agent ( x _ 3 , x _ 6 ) AND boy ( x _ 6 )	in_distribution
A fly ran .	fly ( x _ 1 ) AND run . agent ( x _ 2 , x _ 1 )	in_distribution
A hen gave the flower beside a chair to Liam .	* flower ( x _ 4 ) ; hen ( x _ 1 ) AND give . agent ( x _ 2 , x _ 1 ) AND give . theme ( x _ 2 , x _ 4 ) AND give . recipient ( x _ 2 , Liam ) AND flower . nmod . beside ( x _ 4 , x _ 7 ) AND chair ( x _ 7 )	in_distribution
A mouse was given a cake on the table by Liam .	* table ( x _ 8 ) ; mouse ( x _ 1 ) AND give . recipient ( x _ 3 , x _ 1 ) AND give . theme ( x _ 3 , x _ 5 ) AND give . agent ( x _ 3 , Liam ) AND cake ( x _ 5 ) AND cake . nmod . on ( x _ 5 , x _ 8 )	in_distribution
The boy liked that a donut was admired by Olivia .	* boy ( x _ 1 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . ccomp ( x _ 2 , x _ 7 ) AND donut ( x _ 5 ) AND admire . theme ( x _ 7 , x _ 5 ) AND admire . agent ( x _ 7 , Olivia )	in_distribution
The pickle was shortened .	* pickle ( x _ 1 ) ; shorten . theme ( x _ 3 , x _ 1 )	in_distribution
Isabella forwarded a box on a tree to Emma .	forward . agent ( x _ 1 , Isabella ) AND forward . theme ( x _ 1 , x _ 3 ) AND forward . recipient ( x _ 1 , Emma ) AND box ( x _ 3 ) AND box . nmod . on ( x _ 3 , x _ 6 ) AND tree ( x _ 6 )	in_distribution
A boy painted a child .	boy ( x _ 1 ) AND paint . agent ( x _ 2 , x _ 1 ) AND paint . theme ( x _ 2 , x _ 4 ) AND child ( x _ 4 )	in_distribution
The cake was decomposed .	* cake ( x _ 1 ) ; decompose . theme ( x _ 3 , x _ 1 )	in_distribution
A boy was wired a drink by Isabella .	boy ( x _ 1 ) AND wire . recipient ( x _ 3 , x _ 1 ) AND wire . theme ( x _ 3 , x _ 5 ) AND wire . agent ( x _ 3 , Isabella ) AND drink ( x _ 5 )	in_distribution
A jar was stabbed by the girl .	* girl ( x _ 6 ) ; jar ( x _ 1 ) AND stab . theme ( x _ 3 , x _ 1 ) AND stab . agent ( x _ 3 , x _ 6 )	in_distribution
A scarf was fed to Olivia by a girl .	scarf ( x _ 1 ) AND feed . theme ( x _ 3 , x _ 1 ) AND feed . recipient ( x _ 3 , Olivia ) AND feed . agent ( x _ 3 , x _ 8 ) AND girl ( x _ 8 )	in_distribution
The box was liked by the prince .	* box ( x _ 1 ) ; * prince ( x _ 6 ) ; like . theme ( x _ 3 , x _ 1 ) AND like . agent ( x _ 3 , x _ 6 )	in_distribution
A rose was liked by Stella .	rose ( x _ 1 ) AND like . theme ( x _ 3 , x _ 1 ) AND like . agent ( x _ 3 , Stella )	in_distribution
A bottle was rolled by Olivia .	bottle ( x _ 1 ) AND roll . theme ( x _ 3 , x _ 1 ) AND roll . agent ( x _ 3 , Olivia )	in_distribution
The boy noticed that a rose was frozen by Emma .	* boy ( x _ 1 ) ; notice . agent ( x _ 2 , x _ 1 ) AND notice . ccomp ( x _ 2 , x _ 7 ) AND rose ( x _ 5 ) AND freeze . theme ( x _ 7 , x _ 5 ) AND freeze . agent ( x _ 7 , Emma )	in_distribution
Olivia was fed the box beside the table by Emma .	* box ( x _ 4 ) ; * table ( x _ 7 ) ; feed . recipient ( x _ 2 , Olivia ) AND feed . theme ( x _ 2 , x _ 4 ) AND feed . agent ( x _ 2 , Emma ) AND box . nmod . beside ( x _ 4 , x _ 7 )	in_distribution
Amelia drew Logan .	draw . agent ( x _ 1 , Amelia ) AND draw . theme ( x _ 1 , Logan )	in_distribution
A girl lent the boy the cake .	* boy ( x _ 4 ) ; * cake ( x _ 6 ) ; girl ( x _ 1 ) AND lend . agent ( x _ 2 , x _ 1 ) AND lend . recipient ( x _ 2 , x _ 4 ) AND lend . theme ( x _ 2 , x _ 6 )	in_distribution
Penelope giggled .	giggle . agent ( x _ 1 , Penelope )	in_distribution
Emma liked that a game was lent to the girl .	* girl ( x _ 9 ) ; like . agent ( x _ 1 , Emma ) AND like . ccomp ( x _ 1 , x _ 6 ) AND game ( x _ 4 ) AND lend . theme ( x _ 6 , x _ 4 ) AND lend . recipient ( x _ 6 , x _ 9 )	in_distribution
Emma served a pen to a girl .	serve . agent ( x _ 1 , Emma ) AND serve . theme ( x _ 1 , x _ 3 ) AND serve . recipient ( x _ 1 , x _ 6 ) AND pen ( x _ 3 ) AND girl ( x _ 6 )	in_distribution
A squirrel valued a cookie on a seat .	squirrel ( x _ 1 ) AND value . agent ( x _ 2 , x _ 1 ) AND value . theme ( x _ 2 , x _ 4 ) AND cookie ( x _ 4 ) AND cookie . nmod . on ( x _ 4 , x _ 7 ) AND seat ( x _ 7 )	in_distribution
Emma liked that Hazel laughed .	like . agent ( x _ 1 , Emma ) AND like . ccomp ( x _ 1 , x _ 4 ) AND laugh . agent ( x _ 4 , Hazel )	in_distribution
The cat floated a frog .	* cat ( x _ 1 ) ; float . agent ( x _ 2 , x _ 1 ) AND float . theme ( x _ 2 , x _ 4 ) AND frog ( x _ 4 )	in_distribution
The donut was called .	* donut ( x _ 1 ) ; call . theme ( x _ 3 , x _ 1 )	in_distribution
Riley sneezed .	sneeze . agent ( x _ 1 , Riley )	in_distribution
The girl froze a cake on the tree .	* girl ( x _ 1 ) ; * tree ( x _ 7 ) ; freeze . agent ( x _ 2 , x _ 1 ) AND freeze . theme ( x _ 2 , x _ 4 ) AND cake ( x _ 4 ) AND cake . nmod . on ( x _ 4 , x _ 7 )	in_distribution
The donut was liked by Sophia .	* donut ( x _ 1 ) ; like . theme ( x _ 3 , x _ 1 ) AND like . agent ( x _ 3 , Sophia )	in_distribution
Emma drew a boy .	draw . agent ( x _ 1 , Emma ) AND draw . theme ( x _ 1 , x _ 3 ) AND boy ( x _ 3 )	in_distribution
A girl offered a rose to Isabella .	girl ( x _ 1 ) AND offer . agent ( x _ 2 , x _ 1 ) AND offer . theme ( x _ 2 , x _ 4 ) AND offer . recipient ( x _ 2 , Isabella ) AND rose ( x _ 4 )	in_distribution
The cake was awarded to the puppy by Aiden .	* cake ( x _ 1 ) ; * puppy ( x _ 6 ) ; award . theme ( x _ 3 , x _ 1 ) AND award . recipient ( x _ 3 , x _ 6 ) AND award . agent ( x _ 3 , Aiden )	in_distribution
Emma was brought the donut by Mila .	* donut ( x _ 4 ) ; bring . recipient ( x _ 2 , Emma ) AND bring . theme ( x _ 2 , x _ 4 ) AND bring . agent ( x _ 2 , Mila )	in_distribution
A boy thought that Olivia lent the ball to Emma .	* ball ( x _ 7 ) ; boy ( x _ 1 ) AND think . agent ( x _ 2 , x _ 1 ) AND think . ccomp ( x _ 2 , x _ 5 ) AND lend . agent ( x _ 5 , Olivia ) AND lend . theme ( x _ 5 , x _ 7 ) AND lend . recipient ( x _ 5 , Emma )	in_distribution
A yogurt was served to a host by Liam .	yogurt ( x _ 1 ) AND serve . theme ( x _ 3 , x _ 1 ) AND serve . recipient ( x _ 3 , x _ 6 ) AND serve . agent ( x _ 3 , Liam ) AND host ( x _ 6 )	in_distribution
Sophia gave a cake to a lawyer .	give . agent ( x _ 1 , Sophia ) AND give . theme ( x _ 1 , x _ 3 ) AND give . recipient ( x _ 1 , x _ 6 ) AND cake ( x _ 3 ) AND lawyer ( x _ 6 )	in_distribution
The box was respected .	* box ( x _ 1 ) ; respect . theme ( x _ 3 , x _ 1 )	in_distribution
Oliver poked the donut .	* donut ( x _ 3 ) ; poke . agent ( x _ 1 , Oliver ) AND poke . theme ( x _ 1 , x _ 3 )	in_distribution
Liam hoped that the dog preferred to run .	* dog ( x _ 4 ) ; hope . agent ( x _ 1 , Liam ) AND hope . ccomp ( x _ 1 , x _ 5 ) AND prefer . agent ( x _ 5 , x _ 4 ) AND prefer . xcomp ( x _ 5 , x _ 7 ) AND run . agent ( x _ 7 , x _ 4 )	in_distribution
A drink was poked by Liam .	drink ( x _ 1 ) AND poke . theme ( x _ 3 , x _ 1 ) AND poke . agent ( x _ 3 , Liam )	in_distribution
The cake was handed to the child .	* cake ( x _ 1 ) ; * child ( x _ 6 ) ; hand . theme ( x _ 3 , x _ 1 ) AND hand . recipient ( x _ 3 , x _ 6 )	in_distribution
